id,category,subtype,buy_or_rent,geography,latitude,longitude,sq_meters,floor_number,rooms,bathrooms,ad_type,agent_id,first_seen,last_seen,is_active
18309402,house,3,sale,Melissia (Athens - North),38.04855,23.831369,125,3,3,3,vip,7565,2026-01-27 06:30:20,2026-01-27 06:30:20,1
18309419,house,3,sale,Άγιοι Ανάργυροι (Μαρούσι),38.052078,23.806129,151,7,4,3,vip,7565,2026-01-28 01:26:19,2026-01-28 01:26:19,1
18309421,house,1,sale,Καλλίπολη (Καλλίπολη – Φρεαττύδα),37.931187,23.633823,85,6,2,1,vip,16110,2026-01-28 01:26:21,2026-01-28 01:26:21,1
18309423,house,1,sale,Agioi Anargyroi (Marousi),38.052078,23.806129,100,6,2,2,vip,7565,2026-01-27 06:30:20,2026-01-27 06:30:20,1
18309463,house,4,sale,Strofili (Kifisia),38.084671,23.81328,480,3,7,3,vip,7565,2026-01-27 06:30:20,2026-01-27 06:30:20,1
18309490,house,1,sale,Melissia (Athens - North),38.04855,23.831369,102,6,2,2,vip,7565,2026-01-27 06:30:20,2026-01-27 06:30:20,1
18309511,house,3,sale,Kastritsa (Nea Erithraia),38.107201,23.824511,350,3,4,4,vip,7565,2026-01-27 06:30:18,2026-01-27 06:30:18,1
18309516,house,1,sale,Neo Terma (Marousi),38.05513,23.800159,108,8,3,1,vip,7565,2026-01-27 06:30:20,2026-01-27 06:30:20,1
18309517,house,1,sale,Neo Terma (Marousi),38.05513,23.800159,108,10,3,1,vip,7565,2026-01-27 06:30:20,2026-01-27 06:30:20,1
18309518,house,1,sale,Neo Terma (Marousi),38.05513,23.800159,108,9,3,1,vip,7565,2026-01-27 06:30:20,2026-01-27 06:30:20,1
18309522,house,1,sale,Pefki (Athens - North),38.056999,23.790701,112,9,3,1,vip,7565,2026-01-27 06:30:20,2026-01-27 06:30:20,1
18309529,house,1,sale,Pefki (Athens - North),38.056999,23.790701,112,8,3,1,vip,7565,2026-01-27 06:30:20,2026-01-27 06:30:20,1
18309533,house,3,sale,Kastri - Politeia (Nea Erithraia),38.089359,23.82399,280,3,5,3,vip,7565,2026-01-27 06:30:20,2026-01-27 06:30:20,1
18309540,house,1,sale,Kontopefko (Agia Paraskevi),38.015461,23.81777,89,9,2,1,vip,7565,2026-01-27 06:30:20,2026-01-27 06:30:20,1
18309541,house,1,sale,Kontopefko (Agia Paraskevi),38.015461,23.81777,116,8,3,2,vip,7565,2026-01-27 06:30:20,2026-01-27 06:30:20,1
